#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
886;J1558-5419;15:58:41.4;-54:19:26;1.681873;-1.709e-14;9.09;1.13e+33;
887;J1558-5756;15:58:30.5;-57:56:26.1;0.890994;-1.480e-13;3.74;5.21e+33;
888;J1559-44;15:59;*;0.854781;*;3.38;*;
889;B1556-44;15:59:41.5;-44:38:45.9;3.890201;-1.542e-14;2.30;2.37e+33;
890;B1555-55;15:59:21.3;-55:45:40;1.044667;-2.235e-14;5.09;9.22e+32;
891;J1600-3053;16:00:51.9;-30:53:49.3;277.937707;-7.338e-16;1.80;8.05e+33;
892;B1557-50;16:00:53.0;-50:44:20.9;5.192075;-1.365e-13;6.90;2.80e+34;
893;B1556-57;16:00:19.9;-57:51:14.7;5.142592;-5.620e-14;5.32;1.14e+34;
894;J1600-5916;16:00:35.0;-59:16:59;0.801496;-5.700e-16;6.54;1.80e+31;
895;J1601-50;16:01:24;-50:23;1.161741;*;1.54;*;
896;J1601-5244;16:01:27.3;-52:44:09;0.390723;-1.100e-16;5.14;1.70e+30;
897;J1601-5335;16:01:54.9;-53:35:43.2;3.466727;-7.496e-13;4.04;1.03e+35;
898;J1602-4957;16:02:18.2;-49:57:32;1.219527;-2.371e-14;6.83;1.14e+33;
899;B1558-50;16:02:18.8;-51:00:02;1.157103;-9.316e-14;8.00;4.26e+33;
900;J1603-2531;16:03:04.8;-25:31:47.3;3.532690;-1.987e-14;4.60;2.77e+33;
901;B1600-27;16:03:08.0;-27:13:27.6;1.284830;-4.968e-15;2.58;2.52e+32;
902;J1603-3539;16:03:53.6;-35:39:57.1;7.046790;-6.170e-15;3.83;1.72e+33;
903;J1603-5657;16:03:31.4;-56:57:44.1;2.015816;-1.136e-14;8.52;9.04e+32;
904;J1603-7202;16:03:35.6;-72:02:32.7;67.376581;-7.096e-17;0.53;1.89e+32;
905;J1604-44;16:04:32;-44:43;0.714286;*;*;*;
906;J1604-4718;16:04:29.4;-47:18:47.9;1.895857;-1.783e-14;1.48;1.33e+33;
907;B1600-49;16:04:22.9;-49:09:58.3;3.054204;-9.509e-15;3.59;1.15e+33;
908;J1604-7203;16:04:29.1;-72:03:30.4;2.929090;-7.207e-16;2.56;8.33e+31;
909;J1605+3249;16:05:18.5;+32:49:18.0;0.145349;*;*;*;
910;J1605-5215;16:05:19.0;-52:15:48;0.986574;-4.620e-15;7.06;1.80e+32;
911;B1601-52;16:05:16.3;-52:57:34;1.519727;-5.912e-16;1.28;3.55e+31;
912;B1604-00;16:07:12.1;-00:32:40.8;2.370701;-1.720e-15;0.61;1.61e+32;
913;J1607-5140;16:07:49.3;-51:40:16;2.917810;-2.160e-14;7.01;2.49e+33;
914;J1607-6449;16:07:48.7;-64:49:43.0;3.354395;-2.802e-16;3.82;3.71e+31;
915;J1609-1930;16:09:05.3;-19:30:08;0.641883;-2.097e-16;2.33;5.31e+30;
916;J1609-4616;16:09:41.1;-46:16:22.5;4.006267;-8.040e-15;4.12;1.27e+33;
917;J1609-5158;16:09:26.7;-51:58:18;0.781615;-7.920e-15;12.73;2.44e+32;
918;B1607-13;16:10:42.7;-13:22:22;0.981939;-2.216e-16;3.89;8.59e+30;
919;J1610-17;16:10:11;-17:50;*;*;4.31;*;
920;J1610-5006;16:10:44.3;-50:06:42.2;2.078488;-5.886e-14;6.59;4.83e+33;
921;J1610-5303;16:10:12.8;-53:03:49;1.271508;-4.228e-15;6.60;2.12e+32;
922;J1611-01;16:11;-01:28;0.771087;*;2.30;*;
923;J1611-4811;16:11:02.7;-48:11:39;0.771099;-1.159e-15;5.41;3.53e+31;
924;J1611-4949;16:11:46.6;-49:49:57.2;1.500515;-1.220e-15;8.82;7.23e+31;
925;B1607-52;16:11:03.2;-52:09:23.6;5.479702;-1.551e-13;3.33;3.36e+34;
926;J1611-5847;16:11:51.3;-58:47:42.3;2.820474;-1.600e-17;2.33;1.78e+30;
927;J1612+2008;16:12:23.4;+20:08:18.3;2.343864;-2.048e-16;1.43;1.89e+31;
928;J1612-2408;16:12:26.0;-24:08:04;1.082446;-1.844e-15;3.12;7.88e+31;
929;J1612-49;16:12:54;-49:27;5.189759;*;7.18;*;
930;J1612-5136;16:12:00.6;-51:36:54;2.069063;-1.620e-14;18.18;1.32e+33;
931;J1612-55;16:12:06;-55:09;1.180767;*;8.42;*;
932;J1612-5805;16:12:27.8;-58:05:29.2;1.624641;-2.467e-15;6.29;1.58e+32;
933;B1609-47;16:13:29.0;-47:14:25.8;2.615227;-4.323e-15;3.89;4.46e+32;
934;J1613-5211;16:13:42.4;-52:11:21.0;2.185784;-9.188e-14;6.14;7.93e+33;
935;J1613-5234;16:13:57.4;-52:34:17;1.526204;-1.544e-14;9.94;9.30e+32;
936;B1612+07;16:14:40.9;+07:37:31.0;0.828637;-1.620e-15;1.77;5.30e+31;
937;J1614-2230;16:14:36.5;-22:30:31.2;317.378942;-9.692e-16;0.70;1.21e+34;
938;J1614-23;16:14;-23:15;29.850746;*;3.88;*;
939;J1614-38;16:14:43;-38:46:15;2.154708;*;4.78;*;
940;J1614-3937;16:14:31.2;-39:37:28.8;2.455239;-9.555e-16;10.10;9.26e+31;
941;B1610-50;16:14:11.2;-50:48:03.5;4.316041;-9.220e-12;7.24;1.57e+36;
942;J1614-5144;16:14:45.7;-51:44:49;0.651887;-3.162e-15;9.56;8.14e+31;
943;J1614-5402;16:14:50.3;-54:02:47;1.746443;-8.845e-17;6.96;6.10e+30;
944;B1612-29;16:15:52.8;-29:40:16;0.403622;-2.581e-16;1.88;4.11e+30;
945;J1615-5444;16:15:01.1;-54:44:32.4;2.770408;-2.592e-15;8.40;2.83e+32;
946;B1611-55;16:15:40.4;-55:37:00.5;1.263383;-3.191e-15;3.57;1.59e+32;
947;J1616-5017;16:16:29.8;-50:17:14.9;2.035068;-1.930e-13;3.92;1.55e+34;
948;J1616-5109;16:16:30.9;-51:09:17;0.819945;-1.283e-14;18.97;4.15e+32;
949;J1616-5208;16:16:23.4;-52:08:48;0.974820;-2.747e-14;7.38;1.06e+33;
950;J1617-4216;16:17:23.3;-42:16:59;0.291676;-1.542e-15;6.28;1.78e+31;
951;J1617-4608;16:17:35.1;-46:08:36.5;1.763419;-5.121e-14;10.59;3.56e+33;
952;J1617-5055;16:17:29.3;-50:55:13.2;14.418187;-2.809e-11;6.46;1.60e+37;
953;J1618-39;16:18:30;-39:19;83.421531;*;4.76;*;
954;J1618-4723;16:18:06.8;-47:23:19.1;4.912728;-4.809e-14;3.42;9.33e+33;
955;J1619-42;16:19:06;-42:02;0.977372;*;6.90;*;
956;J1620-4927;16:20:41.5;-49:27:37.1;5.816163;-3.548e-13;*;8.15e+34;
957;J1620-5414;16:20:14.4;-54:14:51.7;0.864782;-5.040e-17;1.73;1.72e+30;
958;J1621-5039;16:21:04.7;-50:39:48.6;0.922492;-1.109e-14;4.88;4.04e+32;
959;J1621-5243;16:21:55.8;-52:43:44;2.688720;-5.552e-15;7.76;5.89e+32;
960;J1622-3751;16:22:04.5;-37:51:13.9;1.367124;-4.803e-15;11.55;2.59e+32;
961;J1622-4332;16:22:45.4;-43:32:28.2;1.090587;-1.861e-15;8.32;8.01e+31;
962;J1622-4347;16:22:30.0;-43:47:21.4;2.184926;-2.411e-14;5.37;2.08e+33;
963;J1622-4802;16:22:47.1;-48:02:13.1;3.772557;-4.370e-15;6.00;6.51e+32;
964;J1622-4845;16:22:05.4;-48:46:29;1.360375;-2.036e-16;5.24;1.09e+31;
965;J1622-4944;16:22:37.5;-49:44:30;0.931994;-1.484e-14;8.55;5.46e+32;
966;J1622-4950;16:22:44.8;-49:50:54.4;0.231155;-9.084e-13;9.14;8.29e+33;
967;J1622-6617;16:22:03.6;-66:17:16.9;42.330829;-1.054e-16;4.66;1.76e+32;
968;J1623-0841;16:23:42.7;-08:41:36.4;1.988012;-7.738e-15;3.83;6.07e+32;
969;B1620-09;16:23:17.6;-09:08:49.2;0.783425;-1.584e-15;3.86;4.90e+31;
970;B1620-26;16:23:38.2;-26:31:53.7;90.287332;-5.469e-15;1.80;1.95e+34;
971;B1620-42;16:23:48.3;-42:56:52;2.742804;-7.688e-15;21.85;8.33e+32;
972;J1623-4949;16:23:54.8;-49:49:04;1.377919;-7.991e-14;3.76;4.35e+33;
973;J1624-4411;16:24:21.3;-44:11:33.8;4.288825;-1.470e-14;3.64;2.49e+33;
974;J1624-4613;16:24:18.7;-46:13:02;1.147786;-8.000e-17;5.14;3.63e+30;
975;J1624-4721;16:24:54.8;-47:21:27;2.228545;-2.060e-14;6.11;1.81e+33;
976;J1625-4048;16:25:10.3;-40:48:21.5;0.424578;-7.986e-17;5.18;1.34e+30;
977;J1625-4904;16:25:18.0;-49:04:33.6;2.172310;-7.910e-14;7.94;6.78e+33;
978;J1625-4913;16:25:16.4;-49:13:44.6;2.810123;-5.249e-14;8.21;5.82e+33;
979;J1626-44;16:27:00;-44:22;3.243030;*;7.65;*;
980;J1626-4537;16:26:48.9;-45:37:25.6;2.701672;-6.043e-14;5.41;6.45e+33;
981;J1626-4807;16:26:42.5;-48:07:54;3.402192;-2.023e-13;10.25;2.72e+34;
982;J1626-6621;16:26:06.8;-66:21:15.2;2.217945;-3.770e-15;4.42;3.30e+32;
983;J1627+1419;16:27:18.7;+14:19:20.7;2.037254;-1.631e-15;2.84;1.31e+32;
984;J1627-4706;16:27:28.7;-47:06:50.2;7.105007;-8.736e-14;7.15;2.45e+34;
985;J1627-4845;16:27:10.3;-48:45:08;1.633105;-9.711e-15;6.86;6.26e+32;
986;J1627-49;16:27:42;-49:54;1.603391;*;7.83;*;
987;J1627-51;16:27:30;-51:08;2.274361;*;4.30;*;
988;J1627-5547;16:27:21.0;-55:47:52.4;2.837167;-5.941e-15;5.66;6.65e+32;
989;J1627-5936;16:27:52.5;-59:36:55.3;2.822993;-6.375e-17;3.67;7.11e+30;
990;J1627+86;16:27;+86:54;2.526624;*;3.65;*;
991;J1628-3205;16:28:07.0;-32:05:48.9;311.526480;*;1.54;*;
992;J1628-4804;16:28:26.8;-48:04:59;1.154773;-1.660e-15;11.21;7.57e+31;
993;J1628-4828;16:28:30.9;-48:28:42;0.241690;-1.024e-15;14.29;9.77e+30;
994;J1629-3636;16:29:35.8;-36:36:13;0.334650;-7.839e-16;3.74;1.04e+31;
995;J1629+43;16:29;+43:59;5.519589;*;0.40;*;
996;J1629-6902;16:29:08.7;-69:02:45.2;166.649906;-2.777e-16;1.36;1.83e+33;
997;J1630+37;16:30;+37;301.204819;*;0.85;*;
998;J1630-4719;16:30:02.4;-47:19:42;1.788681;-4.536e-14;6.70;3.20e+33;
999;B1626-47;16:30:37.4;-47:33:05.0;1.736197;-6.718e-14;6.53;4.60e+33;
1000;J1631-1612;16:31:52.4;-16:12:52.0;1.475614;-2.386e-15;1.85;1.39e+32;
1001;J1631-4155;16:31:18.3;-41:55:03.7;1.814088;-2.900e-17;8.51;2.08e+30;
1002;J1632-1013;16:32:54.2;-10:13:18;1.393462;-1.282e-16;4.22;7.05e+30;
1003;J1632-4509;16:32:14.0;-45:09:09;0.955283;-1.358e-14;9.13;5.12e+32;
1004;J1632-4621;16:32:49.8;-46:21:48.6;0.585085;-2.602e-14;8.42;6.01e+32;
1005;J1632-4757;16:32:16.7;-47:57:34.3;4.375140;-2.886e-13;6.96;4.98e+34;
1006;J1632-4818;16:32:39.7;-48:18:52.6;1.229328;-9.830e-13;8.54;4.77e+34;
1007;J1633-2009;16:33:55.3;-20:10:09;1.068882;-1.222e-15;2.76;5.16e+31;
1008;B1630-44;16:33:47.0;-44:53:07.8;2.290916;-3.255e-14;11.93;2.94e+33;
1009;J1633-4805;16:33:05.4;-48:05:36;1.406806;-1.522e-13;11.90;8.45e+33;
1010;B1629-50;16:33:00.1;-50:15:08.1;2.839760;-3.054e-14;7.02;3.42e+33;
1011;J1634-49;16:34:30;-49:52;1.459989;*;14.39;*;
1012;J1634-5107;16:34:04.9;-51:07:45.6;1.971003;-6.117e-15;9.30;4.76e+32;
1013;J1634-5640;16:34:19.1;-56:40:48.7;4.460280;-8.157e-16;5.71;1.44e+32;
1014;J1635-1511;16:35:47.3;-15:11:52;0.847898;-1.668e-16;4.89;5.58e+30;
1015;B1633+24;16:35:25.7;+24:18:47.3;2.038709;-4.959e-16;2.27;3.99e+31;
1016;J1635-26;16:35:52;-26:16:17;1.958864;*;7.23;*;
1017;J1635-4513;16:35:55.4;-45:13:27;0.627059;-1.416e-15;6.96;3.50e+31;
1018;J1635-4735;16:35:51.8;-47:35:23.3;0.385419;*;*;*;
1019;J1635-4944;16:35:55.4;-49:44:36;1.488175;-1.947e-14;8.85;1.14e+33;
1020;B1630-59;16:35:09.0;-59:54:41;1.889926;-4.886e-15;7.26;3.65e+32;
1021;J1636-4440;16:36:16.5;-44:40:25;4.839135;-1.094e-12;9.33;2.09e+35;
1022;J1636-4803;16:36:32.0;-48:03:55;0.830121;-1.427e-14;6.53;4.68e+32;
1023;J1636-4933;16:36:55.1;-49:33:10;2.323601;-8.131e-15;11.16;7.46e+32;
1024;J1637-4335;16:37:56.8;-43:35:42;1.296401;-6.084e-15;30.00;3.11e+32;
1025;J1637-4450;16:37:53.1;-44:50:26.3;3.954604;-9.000e-15;8.20;1.41e+33;
1026;B1634-45;16:37:58.7;-45:53:27.3;8.419536;-2.260e-13;3.83;7.51e+34;
1027;J1637-46;16:37:36;-46:13;2.028023;*;8.16;*;
1028;J1637-4642;16:37:13.7;-46:42:15;6.492350;-2.495e-12;5.77;6.40e+35;
1029;J1637-4721;16:37:11.4;-47:21:03;0.857823;-3.267e-15;5.94;1.11e+32;
1030;J1637-4816;16:37:58.6;-48:16:12;1.194222;-8.320e-15;10.01;3.92e+32;
1031;J1638-3815;16:38:37.3;-38:15:03.4;1.432130;-1.580e-16;17.54;8.93e+30;
1032;J1638-3951;16:38:15.5;-39:51:59;1.296798;-9.922e-16;10.96;5.08e+31;
1033;J1638-42;16:38:31;-42:33:56;1.957330;*;15.99;*;
1034;J1638-4344;16:38:52.8;-43:44:04;0.891310;-1.986e-17;5.09;6.99e+29;
1035;J1638-44;16:38:18;-44:40;1.760388;*;9.15;*;
1036;J1638-4417;16:38:46.2;-44:17:03.6;8.488853;-1.157e-13;8.46;3.88e+34;
1037;J1638-4608;16:38:22.9;-46:08:11.6;3.595347;-6.658e-13;5.85;9.45e+34;
1038;J1638-4725;16:38:12.9;-47:25:32;1.309014;-8.200e-15;6.87;4.24e+32;
1039;J1638-5226;16:38:59.9;-52:26:57.4;2.936834;-2.286e-14;4.88;2.65e+33;
1040;J1639-4359;16:39:06.8;-43:59:52;1.701957;-4.345e-17;5.23;2.92e+30;
1041;B1635-45;16:39:21.2;-46:04:33.1;1.889945;-2.063e-14;4.64;1.54e+33;
1042;J1640+2224;16:40:16.7;+22:24:08.8;316.123984;-2.826e-16;1.45;3.53e+33;
1043;J1640-4631;16:40:43.5;-46:31:35.4;4.843951;-2.290e-11;12.75;4.38e+36;
1044;J1640-4648;16:40:47.6;-46:48:45;5.606888;-2.534e-14;6.10;5.61e+33;
1045;B1636-47;16:40:13.1;-47:15:35.3;1.932723;-1.570e-13;7.25;1.20e+34;
1046;J1640-4951;16:40:43.5;-49:51:02.1;1.352999;-6.114e-16;10.66;3.27e+31;
1047;J1641-2347;16:41:18.0;-23:47:36;0.916583;-3.453e-17;1.33;1.25e+30;
1048;B1639+36A;16:41:40.8;+36:27:15.4;96.362235;*;6.50;*;
1049;B1639+36B;16:41:41;+36:27:37;283.440928;*;6.50;*;
1050;J1641+3627C;16:41:41;+36:27:37;268.672757;*;6.50;*;
1051;J1641+3627D;16:41:41;+36:27:37;320.718409;*;6.50;*;
1052;J1641+3627E;16:41:41;+36:27:37;402.090873;*;6.50;*;
1053;J1643-1224;16:43:38.1;-12:24:58.6;216.373337;-8.643e-16;0.74;7.38e+33;
1054;J1643-4505;16:43:36.9;-45:05:46.0;4.212600;-5.649e-13;6.30;9.39e+34;
1055;J1643-4522;16:43:20.4;-45:22:01;0.741895;-4.559e-15;6.19;1.34e+32;
1056;J1643-4550;16:43:13.5;-45:50:54.5;1.393713;-5.822e-14;5.88;3.20e+33;
1057;J1644-44;16:44:36;-44:10;5.750081;*;7.65;*;
1058;B1641-45;16:44:49.2;-45:59:09.5;2.197514;-9.702e-14;4.50;8.42e+33;
1059;J1644-46;16:44:06;-46:26;3.985007;*;5.68;*;
1060;J1644-4657;16:44:38.5;-46:57:38;7.938888;-4.727e-14;9.58;1.48e+34;
1061;B1642-03;16:45:02.0;-03:17:58.3;2.579382;-1.185e-14;2.61;1.21e+33;
1062;J1645+1012;16:45:34.4;+10:12:16.0;2.433915;-4.816e-16;3.27;4.63e+31;
1063;J1646-2142;16:46:18.1;-21:42:09.0;170.940171;*;1.41;*;
1064;J1646-4308;16:46:55.3;-43:08:07;1.189513;-1.556e-16;10.96;7.31e+30;
1065;B1643-43;16:46:51.3;-43:46:38;4.317727;-2.102e-12;6.86;3.58e+35;
1066;J1646-5123;16:46:36.3;-51:23:14.6;1.886525;-7.470e-15;10.92;5.56e+32;
1067;B1641-68;16:46:54.8;-68:31:51;0.560032;-5.332e-16;1.80;1.18e+31;
1068;J1647-3607;16:47:46.5;-36:07:04;4.709952;-2.862e-15;12.90;5.32e+32;
1069;J1647-4552;16:47:10.2;-45:52:16.8;0.094245;-7.400e-15;*;2.75e+31;
1070;J1647+66;16:48;+66:04;0.625071;*;1.80;*;
1071;J1648-3256;16:48:06.0;-32:56:40.8;1.389941;-6.821e-15;5.30;3.74e+32;
1072;J1648-4458;16:48:13.0;-44:58:26;1.588230;-4.677e-15;9.89;2.93e+32;
1073;J1648-4611;16:48:22.0;-46:11:16;6.062455;-8.727e-13;5.71;2.09e+35;
1074;J1648-6044;16:48:51.2;-60:44:25.5;1.713018;-1.259e-15;5.66;8.51e+31;
1075;J1649+2533;16:49:44.2;+25:33:07.0;0.984972;-5.427e-16;2.91;2.11e+31;
1076;J1649-3805;16:49:48.2;-38:05:59.1;3.816420;-5.340e-16;6.62;8.05e+31;
1077;J1649-3935;16:49:06.6;-39:35:44.2;1.297169;-6.579e-17;9.04;3.37e+30;
1078;J1649-4349;16:49:20.4;-43:49:22.2;1.148486;-5.800e-17;5.56;2.63e+30;
1079;J1649-4653;16:49:24.5;-46:53:09;1.795272;-1.603e-13;5.63;1.14e+34;
1080;J1649-4729;16:49:18.2;-47:29:53;3.359174;-7.391e-14;12.69;9.80e+33;
1081;J1649-5553;16:49:31.1;-55:53:40;1.629804;-4.510e-15;14.07;2.90e+32;
1082;J1649+80;16:50;+80:45;494.780609;*;3.38;*;
1083;J1650-1654;16:50:27.2;-16:54:40;0.571575;-1.046e-15;2.15;2.36e+31;
1084;J1650-4126;16:50:13.1;-41:26:33.8;3.237108;-2.075e-16;5.06;2.65e+31;
1085;J1650-4341;16:50:44.6;-43:41:30.8;3.232079;-1.743e-16;8.11;2.22e+31;
1086;J1650-4502;16:50:32.3;-45:02:37.3;2.625569;-1.107e-13;5.09;1.15e+34;
1087;J1650-4921;16:50:35.1;-49:21:03.8;6.393888;-7.435e-14;5.83;1.88e+34;
1088;B1648-17;16:51:31.7;-17:09:22;1.027334;-3.205e-15;1.62;1.30e+32;
1089;B1648-42;16:51:48.7;-42:46:11;1.184721;-6.754e-15;5.20;3.16e+32;
1090;J1651-4519;16:51:57.2;-45:19:11;1.932579;-3.059e-14;7.29;2.33e+33;
1091;B1647-52;16:51:42.9;-52:22:58.2;1.574664;-4.493e-15;6.39;2.79e+32;
1092;B1647-528;16:51:41.2;-52:55:48;1.122922;-2.610e-15;5.99;1.16e+32;
1093;J1651-7642;16:51:07.8;-76:42:39.5;0.569700;-4.424e-16;5.16;9.95e+30;
1094;J1652-1400;16:52:16.6;-14:00:27.4;3.273890;-1.884e-16;3.10;2.44e+31;
1095;B1649-23;16:52:58.5;-24:03:51;0.586944;-1.088e-15;3.10;2.52e+31;
1096;J1652+2651;16:52:03.0;+26:51:40.4;1.091937;-7.794e-16;2.93;3.36e+31;
1097;J1652-4406;16:52:59.5;-44:06:05;0.129749;-1.599e-16;8.80;8.19e+29;
1098;J1652-48;16:52:54;-48:45;264.192151;*;4.79;*;
1099;J1653-2054;16:53:31.0;-20:54:55.1;242.180871;-6.551e-16;2.64;6.26e+33;
1100;B1650-38;16:53:39.7;-38:38:20.8;3.278287;-2.994e-14;5.12;3.88e+33;
1101;J1653-4030;16:53:34.2;-40:30:01.4;0.980997;-4.200e-16;10.37;1.63e+31;
1102;J1653-4249;16:53:40.2;-42:49:03.3;1.632498;-1.283e-14;5.64;8.27e+32;
1103;J1653-4315;16:53:29.7;-43:15:01;2.385042;-8.533e-17;5.13;8.03e+30;
1104;J1653-4854;16:53:56.7;-48:54:51;0.326850;-3.686e-16;13.76;4.76e+30;
1105;J1654-23;16:54:03;-23:35;1.833652;*;3.60;*;
1106;J1654-2713;16:54:23.6;-27:13:02;1.262909;-2.673e-16;4.08;1.33e+31;
1107;J1654-3710;16:54:44.4;-37:10:57.1;1.064775;-8.330e-16;13.15;3.50e+31;
1108;J1654-4140;16:54:23.5;-41:40:24;0.784963;-8.010e-17;5.15;2.48e+30;
1109;J1654-4245;16:54:22.0;-42:45:39;0.907808;-4.215e-14;11.84;1.51e+33;
1110;J1655-3048;16:55:24.5;-30:48:42;1.841838;-1.242e-16;8.57;9.03e+30;
1111;J1655-3844;16:55:38.6;-38:44:09;0.837914;-1.404e-15;11.94;4.65e+31;
1112;J1656-3621;16:56:32.9;-36:21:59.7;1.369612;-2.392e-15;7.60;1.29e+32;
1113;J1657-4432;16:57:36.7;-44:32:20;1.640401;-2.208e-14;5.58;1.43e+33;
1114;J1658-4306;16:58:16.6;-43:06:50;0.857303;-3.145e-14;9.59;1.06e+33;
1115;J1658-47;16:58:24;-47:12;2.707350;*;30.00;*;
1116;J1658-4958;16:58:54.9;-49:58:58.4;2.398808;-2.219e-14;6.26;2.10e+33;
1117;J1658-5324;16:58:39.3;-53:24:07.0;409.954363;-1.875e-15;1.24;3.03e+34;
1118;B1657-13;16:59:53.0;-13:05:09.0;1.560164;-1.504e-15;4.85;9.26e+31;
1119;J1659-4316;16:59:56.3;-43:16:06;2.108008;-7.599e-16;7.93;6.32e+31;
1120;J1659-4439;16:59:39.4;-44:39:01;2.830512;-2.003e-16;9.18;2.24e+31;
1121;J1700-3312;17:00:52.9;-33:12:46.5;0.736211;-2.554e-15;5.64;7.42e+31;
1122;J1700-3611;17:00:49.3;-36:11:53;0.669303;-1.937e-15;6.48;5.12e+31;
1123;J1700-3919;17:00:22.2;-39:19:00.0;1.784110;-1.600e-17;6.34;1.13e+30;
1124;J1700-4012;17:00:38.5;-40:12:38.6;3.523709;-1.230e-15;5.77;1.71e+32;
1125;J1700-4422;17:00:53.6;-44:22:27;1.323565;-7.007e-17;6.44;3.66e+30;
1126;J1700-4939;17:00:22.5;-49:39:15;1.729017;-3.223e-15;14.53;2.20e+32;
1127;J1701-3006A;17:01:12.5;-30:06:30.1;190.782671;4.735e-15;7.05;*;
1128;J1701-3006B;17:01:12.6;-30:06:49.0;278.252962;2.697e-14;7.05;*;
1129;J1701-3006C;17:01:12.8;-30:06:59.4;131.356873;1.107e-15;7.05;*;
1130;J1701-3006D;17:01:13.5;-30:06:42.5;292.588404;-1.076e-14;7.05;1.24e+35;
1131;J1701-3006E;17:01:13.2;-30:06:46.8;309.239712;-2.967e-14;7.05;3.62e+35;
1132;J1701-3006F;17:01:12.8;-30:06:51.8;435.781670;-4.218e-14;7.05;7.26e+35;
1133;J1701-3130;17:01:43.5;-31:30:36.7;3.432398;-6.593e-16;4.53;8.93e+31;
1134;B1658-37;17:01:18.5;-37:26:25;0.407397;-1.849e-15;7.81;2.97e+31;
1135;B1657-45;17:01:29.1;-45:33:48.7;3.096852;-4.980e-15;17.39;6.09e+32;
1136;J1701-4958;17:01:12.8;-49:58:33;1.243311;-1.700e-16;9.68;8.35e+30;
1137;J1702-3932;17:02:14.3;-39:32:40;2.561948;-2.481e-15;9.69;2.51e+32;
1138;J1702-4128;17:02:52.5;-41:28:48.2;5.490409;-1.578e-12;5.18;3.42e+35;
1139;J1702-4217;17:02:36.4;-42:17:01.2;4.394350;-2.200e-16;7.49;3.82e+31;
1140;J1702-4306;17:02:27.2;-43:06:44;4.640213;-2.107e-13;7.12;3.86e+34;
1141;J1702-4310;17:02:26.9;-43:10:40;4.157592;-3.868e-12;5.44;6.35e+35;
1142;J1702-4428;17:02:52.6;-44:28:03;0.470919;-7.318e-16;7.05;1.36e+31;
1143;B1700-18;17:03:51.0;-18:46:15.8;1.243254;-2.676e-15;2.05;1.31e+32;
1144;B1700-32;17:03:22.5;-32:41:48.0;0.825229;-4.493e-16;3.31;1.46e+31;
1145;J1703-38;17:03:26;-38:12;0.155207;*;7.78;*;
1146;J1703-4442;17:03:20.5;-44:42:42;0.572314;-4.684e-15;5.34;1.06e+32;
1147;J1703-4851;17:03:54.4;-48:51:55.8;0.716127;-2.605e-15;4.50;7.37e+31;
1148;B1659-60;17:04:14.8;-60:16:54;3.264528;-9.698e-15;1.89;1.25e+33;
1149;J1705-04;17:05;-04:41;4.210881;*;3.04;*;
1150;B1702-19;17:05:36.0;-19:06:38.6;3.344622;-4.629e-14;1.18;6.11e+33;
1151;J1705-3423;17:05:42.3;-34:23:45.1;3.915021;-1.650e-14;3.75;2.55e+33;
1152;J1705-3936;17:05:37.1;-39:36:29;1.170300;-2.639e-14;8.46;1.22e+33;
1153;J1705-3950;17:05:29.8;-39:50:59;3.135371;-5.958e-13;3.86;7.37e+34;
1154;J1705-4108;17:05:20.4;-41:08:44;1.161349;-4.681e-14;11.87;2.15e+33;
1155;J1705-4331;17:05:35.9;-43:31:13.6;4.493148;-1.437e-15;3.76;2.55e+32;
1156;J1705-52;17:05:50;-52:36:17;4.334634;*;8.99;*;
1157;J1705-6135;17:05:15.3;-61:35:15;1.236788;-9.178e-17;6.31;4.48e+30;
1158;J1706-3839;17:06:21.3;-38:39:51;1.705648;-8.728e-15;12.20;5.88e+32;
1159;J1706-4310;17:06:04.5;-43:10:21;1.620801;-1.709e-14;13.43;1.09e+33;
1160;J1706+59;17:07;+59:10;0.677192;*;2.97;*;
1161;J1706-6118;17:06:09.7;-61:18:11.7;2.763031;-2.230e-15;3.64;2.43e+32;
1162;B1703-40;17:07:21.7;-40:53:56.1;1.721121;-5.702e-15;4.00;3.87e+32;
1163;J1707-4341;17:07:40.1;-43:41:12.0;1.122845;-7.181e-15;7.99;3.18e+32;
1164;J1707-4417;17:07:41.4;-44:17:19;0.173497;-3.507e-16;9.17;2.40e+30;
1165;J1707-4729;17:07:15.5;-47:29:34.5;3.752716;-2.197e-14;10.64;3.26e+33;
1166;J1708-3426;17:08:57.7;-34:26:44;1.444850;-8.775e-15;4.78;5.01e+32;
1167;J1708-3506;17:08:17.6;-35:06:22.6;221.967751;-5.627e-16;3.50;4.93e+33;
1168;J1708-3641;17:08:35.9;-36:41:21.5;1.701934;-3.907e-16;6.02;2.63e+31;
1169;J1708-3827;17:08:16.5;-38:27:36;0.815806;-5.724e-15;17.55;1.84e+32;
1170;J1708-4008;17:08:46.8;-40:08:52.4;0.090857;-1.618e-13;3.80;5.80e+32;
1171;J1708-4522;17:08:12.9;-45:22:51;0.770513;-1.551e-15;30.00;4.72e+31;
1172;J1708-52;17:08;*;2.224100;*;3.30;*;
1173;B1701-75;17:08:02.5;-75:39:23;0.839614;-1.325e-15;2.01;4.39e+31;
1174;B1706-16;17:09:26.4;-16:40:57.7;1.531267;-1.480e-14;2.61;8.94e+32;
1175;J1709+2313;17:09:05.7;+23:13:27.8;215.926931;-1.692e-16;1.83;1.44e+33;
